device_id,stationid,locationid,start_date,end_date,active_dates,lane_number
10010,1063,55,2016-02-22,,"[2016-02-22,)",1
10008,1065,53,2016-02-22,,"[2016-02-22,)",1
10007,1066,52,2016-02-22,,"[2016-02-22,)",1
10006,1067,51,2016-02-22,,"[2016-02-22,)",1
10005,1068,50,2016-02-22,,"[2016-02-22,)",1
10004,1069,49,2016-02-22,,"[2016-02-22,)",1
10003,1070,48,2016-02-22,,"[2016-02-22,)",1
10002,1071,47,2016-02-22,,"[2016-02-22,)",1
10016,1078,60,2016-02-22,,"[2016-02-22,)",1
10015,1079,59,2016-02-22,,"[2016-02-22,)",1
10014,1080,58,2016-02-22,,"[2016-02-22,)",1
10013,1111,56,2016-02-22,,"[2016-02-22,)",1
10213,10661,541,,,"(,)",1
10070,232,276,2016-02-22,,"[2016-02-22,)",1
10071,232,274,2016-02-22,,"[2016-02-22,)",2
10053,1004,125,2016-02-22,,"[2016-02-22,)",1
10054,1004,126,2016-02-22,,"[2016-02-22,)",2
10055,1005,127,2016-02-22,,"[2016-02-22,)",1
10056,1006,128,2016-02-22,,"[2016-02-22,)",1
10057,1007,129,2016-02-22,,"[2016-02-22,)",1
10073,1008,201,2016-02-22,,"[2016-02-22,)",1
10074,1009,202,2016-02-22,,"[2016-02-22,)",1
10075,1010,203,2016-02-22,,"[2016-02-22,)",1
10076,1011,204,2016-02-22,,"[2016-02-22,)",1
10077,1012,205,2016-02-22,,"[2016-02-22,)",1
10078,1013,206,2016-02-22,,"[2016-02-22,)",1
10079,1013,207,2016-02-22,,"[2016-02-22,)",2
10040,1015,113,2016-02-22,,"[2016-02-22,)",1
10166,1019,211,2016-02-22,,"[2016-02-22,)",1
10167,1020,212,2016-02-22,,"[2016-02-22,)",1
10168,1021,213,2016-02-22,,"[2016-02-22,)",1
10169,1023,215,2016-02-22,,"[2016-02-22,)",1
10170,1023,214,2016-02-22,,"[2016-02-22,)",2
10171,1024,216,2016-02-22,,"[2016-02-22,)",1
10172,1025,217,2018-01-19,,"[2018-01-19,)",1
10183,1026,232,2016-02-22,,"[2016-02-22,)",1
10182,1027,231,2016-02-22,,"[2016-02-22,)",1
10180,1028,229,2016-02-22,,"[2016-02-22,)",1
10179,1029,228,2016-02-22,,"[2016-02-22,)",1
10178,1030,227,2016-02-22,,"[2016-02-22,)",1
10177,1031,226,2016-02-22,,"[2016-02-22,)",1
10176,1032,225,2016-02-22,,"[2016-02-22,)",1
10174,1034,223,2016-02-22,,"[2016-02-22,)",1
10173,1035,222,2016-02-22,,"[2016-02-22,)",1
10041,1036,114,2016-02-22,,"[2016-02-22,)",1
10208,1037,134,2020-01-27,,"[2020-01-27,)",1
10046,1038,133,2016-02-22,,"[2016-02-22,)",1
10047,1039,132,2016-02-22,,"[2016-02-22,)",1
10048,1040,131,2016-02-22,,"[2016-02-22,)",1
10159,1042,263,2016-02-22,,"[2016-02-22,)",1
10160,1043,264,2016-02-22,,"[2016-02-22,)",1
10097,1045,267,2016-02-22,,"[2016-02-22,)",1
10096,1046,268,2016-02-22,,"[2016-02-22,)",1
10095,1047,269,2016-02-22,,"[2016-02-22,)",1
10113,1049,295,2018-01-19,,"[2018-01-19,)",1
10112,1050,294,2016-02-22,,"[2016-02-22,)",1
10105,1054,288,2016-02-22,,"[2016-02-22,)",1
10117,1059,254,2016-02-22,,"[2016-02-22,)",1
10118,1060,253,2016-02-22,,"[2016-02-22,)",1
10119,1061,252,2016-02-22,,"[2016-02-22,)",1
10120,1062,251,2016-02-22,,"[2016-02-22,)",1
10023,1072,66,2016-02-22,,"[2016-02-22,)",1
10022,1073,65,2016-02-22,,"[2016-02-22,)",1
10021,1074,64,2016-02-22,,"[2016-02-22,)",1
10020,1075,63,2016-02-22,,"[2016-02-22,)",1
10018,1076,62,2016-02-22,,"[2016-02-22,)",1
10017,1077,61,2016-02-22,,"[2016-02-22,)",1
10187,1082,235,2016-02-22,,"[2016-02-22,)",1
10189,1083,238,2016-02-22,,"[2016-02-22,)",1
10190,1084,237,2016-02-22,,"[2016-02-22,)",1
10198,1085,239,2018-01-19,,"[2018-01-19,)",1
10192,1086,240,2016-02-22,,"[2016-02-22,)",1
