agency,stationid,latitude,longitude,geom,agencyid,start_date,end_date,active_dates,locationtext,direction,lanes,actual_lanes,highwayid,milepost
ODOT,10584,45.52942991,-122.5647719,0101000020E6100000C90C0A3925A45EC0B37CFA5BC4C34640,456,2016-02-22,,"[2016-02-22,)",Glisan Ramp (2DS151) @ NB I-205 MP21.44,N,1,2,3,21
ODOT,1148,45.50655004,-122.7174326,0101000020E610000064856C6AEAAD5EC033CBB7A1D6C04640,142,2016-02-22,,"[2016-02-22,)",Zoo (2R387) to EB US 26,E,1,2,11,72
ODOT,1012,45.46537,-122.69498,0101000020E6100000F1D7648D7AAC5EC00F45813E91BB4640,159,2016-02-22,,"[2016-02-22,)",Multnomah (2R304) to NB I-5,N,1,2,1,297
ODOT,1126,45.42774378,-122.5671382,0101000020E6100000FD5305FE4BA45EC06E15E54EC0B64640,241,2016-02-22,,"[2016-02-22,)",Sunnybrook (2R029) to SB I-205,S,1,2,4,14
ODOT,1021,45.57139671,-122.6782201,0101000020E61000005A3F47F567AB5EC0FA3E038723C94640,168,2016-02-22,,"[2016-02-22,)",Rosa Parks (2R004) to NB I-5,N,1,1,1,305
ODOT,1004,45.38206383,-122.7522036,0101000020E6100000BE7B911A24B05EC0D16AB377E7B04640,383,2016-02-22,,"[2016-02-22,)",WB Nyberg Slip (2R312) to NB I-5,N,2,2,1,290
ODOT,10581,45.50105224,-122.5657533,0101000020E6100000A946544D35A45EC09B31D47A22C04640,459,2016-02-22,,"[2016-02-22,)",Division Ramp (2DS152) @ SB I-205 MP19.92,S,1,2,4,20
ODOT,1020,45.5617239,-122.6782793,0101000020E610000071C394ED68AB5EC0D7F09991E6C74640,167,2016-02-22,,"[2016-02-22,)",Alberta (2R003) to NB I-5 MP304.3 [2DS185],N,1,1,1,304
ODOT,1008,45.43413231,-122.742989,0101000020E61000006A12BC218DAF5EC021CBC4A591B74640,155,2016-02-22,,"[2016-02-22,)",Haines (2R308) to NB I-5,N,1,1,1,293
ODOT,10023,44.09722286,-123.1248449,0101000020E6100000A2A47675FDC75EC0D20F76CC710C4640,23,2016-02-22,,"[2016-02-22,)",OR569 EB (5R004) @ River Rd MP8.47,E,1,2,616,8
ODOT,1105,45.44152574,-122.7423222,0101000020E61000001106F93482AF5EC034D25AEA83B84640,174,2016-02-22,,"[2016-02-22,)",99W (2R324) to SB I-5,S,1,2,2,293
ODOT,1132,45.52476117,-122.6864821,0101000020E610000086329E52EFAB5EC02BAEBF5F2BC34640,65,2016-02-22,,"[2016-02-22,)",Couch (2R389) to NB I-405,N,1,2,5,2
ODOT,1146,45.5102264,-122.7798265,0101000020E6100000778368ADE8B15EC025C742194FC14640,151,2020-01-27,,"[2020-01-27,)",Barnes (2R355) to WB US 26 Frontage,W,1,1,609,69
ODOT,1144,45.37535066,-122.58583,0101000020E610000001C11C3D7EA55EC0B39D8C7D0BB04640,218,2016-02-22,,"[2016-02-22,)",OR 213/Park Place (2R035) to I-205 NB MP10.45 [2DS171],N,1,3,3,10
ODOT,1131,45.43275428,-122.744539,0101000020E61000002EE6E786A6AF5EC0EAE6037E64B74640,173,2016-02-22,,"[2016-02-22,)",Haines (2R323) to SB I-5,S,1,2,2,293
ODOT,1092,45.50907632,-122.7369709,0101000020E6100000A366FE872AAF5EC0B5C8B06929C14640,145,2016-02-22,,"[2016-02-22,)",Skyline (2R367) to WB US 26,W,1,2,12,71
ODOT,1046,45.45482339,-122.571412,0101000020E6100000AF22A30392A45EC0C0C020A737BA4640,224,2016-02-22,,"[2016-02-22,)",Johnson Cr (2R049) to NB I-205,N,1,2,3,16
ODOT,1011,45.46203,-122.6997198,0101000020E610000046578E35C8AC5EC0ACE28DCC23BB4640,158,2016-02-22,,"[2016-02-22,)",Spring Garden (2R305) to NB I-5,N,1,1,1,296
ODOT,1069,45.43677517,-122.7635842,0101000020E610000082AF4390DEB05EC06B6DAF3FE8B74640,4,2016-02-22,,"[2016-02-22,)",SB OR 99W Slip (2R336) to NB OR 217,N,1,2,9,6
ODOT,1114,45.37132321,-122.7081011,0101000020E6100000BEB0468751AD5EC00E99D98487AF4640,231,2016-02-22,,"[2016-02-22,)",Stafford Rd (2R390) to SB I-205,S,1,2,4,3
ODOT,1147,45.59301429,-122.683534,0101000020E61000000FED6305BFAB5EC02ACE6AE4E7CB4640,186,2016-02-22,,"[2016-02-22,)",Victory (2R021) to SB I-5,S,1,2,2,307
ODOT,1089,45.50707735,-122.7762601,0101000020E610000024ACD73EAEB15EC06C651DE9E7C04640,138,2016-02-22,,"[2016-02-22,)",Parkway (2R370) to EB US 26,E,2,2,11,69
ODOT,1101,45.38302834,-122.5801002,0101000020E6100000CCD9965C20A55EC0DFDE981207B14640,237,2016-02-22,,"[2016-02-22,)",82nd Dr/Gladstone (2R039) to SB I-205 MP11.05 [2DS170],S,1,2,4,11
ODOT,1128,45.55280852,-122.8975011,0101000020E6100000F02774A870B95EC0D22CF96DC2C64640,438,2018-01-19,,"[2018-01-19,)",NB Cornelius Pass Rd Slip (2R397) to EB US 26,E,1,3,11,63
ODOT,1062,45.5337294,-122.6318116,0101000020E6100000F1CEEB996FA85EC0F4F4B63E51C44640,207,2016-02-22,,"[2016-02-22,)",33rd (2R077) to WB I-84,W,1,1,8,2
ODOT,1015,45.50013764,-122.6728144,0101000020E6100000C81121640FAB5EC039A69B8204C04640,68,2016-02-22,,"[2016-02-22,)",Macadam (2R301) to NB I-5,N,1,1,1,300
ODOT,1063,45.49974489,-122.7894629,0101000020E6100000F139668F86B25EC05272FBA3F7BF4640,10,2016-02-22,,"[2016-02-22,)",Walker (2R339) to NB OR 217,N,1,1,9,1
ODOT,1127,45.52988561,-122.599831,0101000020E6100000200890A163A65EC017C9AA4AD3C34640,206,2016-02-22,,"[2016-02-22,)",60th (2R073) to EB I-84,E,1,1,7,4
ODOT,1007,45.42237925,-122.742597,0101000020E6100000E54691B586AF5EC027A1F48510B64640,83,2016-02-22,,"[2016-02-22,)",OR 217/Kruse Way (2R317) to NB I-5,N,1,2,1,292
ODOT,1027,45.60295683,-122.6835278,0101000020E610000009BA62EBBEAB5EC0FADF7CB02DCD4640,187,2016-02-22,,"[2016-02-22,)",Marine Dr/99E (2R010) to SB I-5,S,1,1,2,307
ODOT,1035,45.53260849,-122.6658444,0101000020E6100000628ED4319DAA5EC09C0FD7832CC44640,177,2016-02-22,,"[2016-02-22,)",Wheeler (2R018) to SB I-5,S,1,2,2,302
ODOT,1029,45.57815044,-122.6795951,0101000020E61000006641727C7EAB5EC0E8FB67D500CA4640,184,2016-02-22,,"[2016-02-22,)",WB Lombard (2R013) to SB I-5,S,1,2,2,306
ODOT,1031,45.56872264,-122.6790531,0101000020E6100000D62F229B75AB5EC0BBA549E7CBC84640,182,2016-02-22,,"[2016-02-22,)",Rosa Parks (2R014) to SB I-5,S,1,2,2,305
ODOT,1098,45.45497874,-122.5736041,0101000020E61000007F96F8EDB5A45EC070564CBE3CBA4640,243,2016-02-22,,"[2016-02-22,)",Johnson Creek (2R034) to SB I-205,S,1,2,4,16
ODOT,1111,45.5049315,-122.7821511,0101000020E6100000F2C17CC30EB25EC0309C6B98A1C04640,12,2016-02-22,,"[2016-02-22,)",Wilshire (2R350) to SB OR 217,S,1,2,10,0
ODOT,1100,45.40442647,-122.5720427,0101000020E6100000981AFC589CA45EC0B3241F3FC4B34640,238,2016-02-22,,"[2016-02-22,)",OR 212/224 (2DS168) to SB I-205,S,1,2,4,13
ODOT,1141,45.55946637,-122.5660371,0101000020E6100000A734ACF339A45EC0512E11989CC74640,469,2016-02-22,,"[2016-02-22,)",Columbia (2R025) to SB I-205,S,1,2,4,23
ODOT,1042,45.38434051,-122.5787515,0101000020E6100000B340BB430AA55EC02E7DE01132B14640,219,2016-02-22,,"[2016-02-22,)",82nd Dr/Gladstone (2R044) to NB I-205 MP11.05 [2DS169],N,1,2,3,11
ODOT,1076,45.45915749,-122.785262,0101000020E6100000A9328CBB41B25EC0B9A131ACC5BA4640,17,2016-02-22,,"[2016-02-22,)",Hall (2R331) to SB OR 217,S,1,2,10,4
ODOT,10556,45.53256451,-122.621445,0101000020E6100000D0D03FC1C5A75EC0EABAE8122BC44640,423,2016-02-22,,"[2016-02-22,)",39th (2DS109) @ EB I-84 MP2.64,E,1,2,7,3
ODOT,1043,45.40919883,-122.5714809,0101000020E610000079F29F2493A45EC0AB3494A060B44640,220,2016-02-22,,"[2016-02-22,)",OR 212/224 (2R045) to NB I-205 MP12.94 [2DS167],N,1,2,3,13
ODOT,1070,45.4342569,-122.760588,0101000020E6100000B96E4A79ADB05EC0FBC7E7BA95B74640,3,2016-02-22,,"[2016-02-22,)",NB OR 99W Loop (2R335) to NB OR 217,N,1,2,9,6
ODOT,1090,45.50814024,-122.7417446,0101000020E610000004BF57BE78AF5EC0724A48BD0AC14640,140,2016-02-22,,"[2016-02-22,)",Canyon (2R366) to EB US 26,E,1,2,11,71
ODOT,3161,45.50843924,-122.734482,0101000020E61000000B60CAC001AF5EC0CCE6798914C14640,129,2016-02-22,,"[2016-02-22,)",Zoo on-ramp (2DS065) @ EB US26 MP72.17,E,1,2,11,72
