id,agency_id,location_name,active_dates
1,86,Corbett (2DS056) @ SB I-5 MP298.9,"[2018-01-09,)"
2,92,Madison (2DS042) @ NB I-5 MP300.8,"[2018-01-09,)"
3,93,Madison (2DS071) @ SB I-5 MP300.8,"[2018-01-09,)"
4,95,N. Morrison Bridge (2DS070) @ NB I-5 MP301.32,"[2018-01-09,)"
5,85,Corbett (2DS056) @ NB I-5 MP298.9,"[2018-01-09,)"
6,106,5th (2R394) to SB I-405,"[2018-01-09,)"
7,107,Broadway (2R388) to SB I-405,"[2018-01-09,)"
8,108,Montgomery (2R384) to SB I-405,"[2018-01-09,)"
9,109,Taylor (2R385) to SB I-405,"[2018-01-09,)"
10,110,Everett (2R386) to SB I-405,"[2018-01-09,)"
11,111,Couch (2R389) to NB I-405,"[2018-01-09,)"
12,112,Glisan (2R395) to NB I-405,"[2018-01-09,)"
13,96,Naito/Harbor (2R391) to SB I-5,"[2018-01-09,)"
14,113,Macadam (2R301) to NB I-5,"[2018-01-09,)"
15,114,Hood (2R302) to SB I-5,"[2018-01-09,)"
16,117,Broadway (2DS010) @ NB I-5 MP302.52,"[2018-01-09,)"
17,118,Broadway (2DS010) @ SB I-5 MP302.51,"[2018-01-09,)"
18,120,Broadway (2DS006) @ SB I-405 MP1.15,"[2018-01-09,)"
19,124,WB Elligsen Slip (2R314) to NB I-5,"[2018-01-09,)"
20,127,Lower Boones (2R311) to NB I-5,"[2018-01-09,)"
21,128,Carman (2R316) to NB I-5,"[2018-01-09,)"
22,129,OR 217/Kruse Way (2R317) to NB I-5,"[2018-01-09,)"
23,130,Wilsonville Rd (2R399) to SB I-5,"[2018-01-09,)"
24,131,Nyberg (2R320) to SB I-5,"[2018-01-09,)"
25,132,Lower Boones (2R321) to SB I-5,"[2018-01-09,)"
26,133,Carman (2R322) to SB I-5,"[2018-01-09,)"
27,134,OR 217/Kruse Way (2R310) to SB I-5,"[2018-01-09,)"
28,121,Alder (2DS009) @ NB I-405 MP2.12,"[2018-01-09,)"
29,94,N. Morrison Bridge (2DS070) @ SB I-5 MP301.32,"[2018-01-09,)"
30,119,Broadway (2DS006) @ NB I-405 MP1.15,"[2018-01-09,)"
31,145,Jefferson (2DS008) @ SB I-405 MP1.77,"[2018-01-09,)"
32,147,Jefferson (2DS008) @ NB I-405 MP1.77,"[2018-01-09,)"
33,148,N. Wilsonville (2DS051) @ NB I-5 MP285.28,"[2018-01-09,)"
34,149,Norwood (2DS052) @ NB I-5 MP287.46,"[2018-01-09,)"
35,150,N. Wilsonville (2DS051) @ SB I-5 MP285.28,"[2018-01-09,)"
36,151,Norwood (2DS052) @ SB I-5 MP287.46,"[2018-01-09,)"
37,116,EB Elligsen Loop (2R315) to NB I-5,"[2018-01-09,)"
38,122,Wilsonville Rd (2R396) to NB I-5,"[2018-01-09,)"
39,165,NB OR 217 (2DS044) to WB US 26 MP0.08,"[2018-01-09,)"
40,167,WB US 26 (2DS045) to SB OR 217 MP69.1,"[2018-01-09,)"
41,168,EB US 26 (2DS046) to SB OR 217 MP69.16,"[2018-01-09,)"
42,140,Ross Island (2DS060) @ NB I-405 MP0.2,"[2018-01-09,)"
43,144,US 26 off-ramp (2DS008) @ SB I-405 MP1.77,"[2018-01-09,)"
44,143,Taylor St on-ramp (2DS008) @ SB I-405 MP1.77,"[2018-01-09,)"
45,142,Ross Island off-ramp (2DS060) @ SB I-405 MP0.2,"[2018-01-09,)"
46,173,Ross Island (2DS060) SB I-5 MP299.8,"[2018-01-09,)"
47,91,Marquam Bridge Catwalk (2DS058) @ SB I-5 MP300.26,"[2018-01-09,)"
48,179,OR 217 off-ramp (2DS067) @ EB US26 MP69.31,"[2018-01-09,)"
49,181,OR 217 off-ramp (2DS067) @ WB US26 MP69.31,"[2018-01-09,)"
50,193,Terwilliger (2DS054) @ SB I-5 MP297.3,"[2018-01-09,)"
51,194,Miles (2DS055) @ SB I-5 MP297.6,"[2018-01-09,)"
52,195,"EB US 26 (2R383) to NB I-405, Market","[2018-01-09,)"
53,196,WB US 26 Frontage (2R367) at Skyline,"[2018-01-09,)"
54,197,Barnes (2R355) to WB US 26 Frontage,"[2018-01-09,)"
55,198,Miles (2DS055) @ NB I-5 MP297.6,"[2018-01-09,)"
